protein1,protein2,combined_score
ENSP00000000412,ENSP00000363458,902
ENSP00000000412,ENSP00000354376,161
ENSP00000000412,ENSP00000303366,285
ENSP00000000412,ENSP00000369981,900
ENSP00000000412,ENSP00000218548,210
ENSP00000000412,ENSP00000418915,267
ENSP00000000412,ENSP00000327801,290
ENSP00000000412,ENSP00000360266,392
ENSP00000000412,ENSP00000466298,938
ENSP00000000412,ENSP00000418082,386
ENSP00000000412,ENSP00000216124,426
ENSP00000000412,ENSP00000307939,946
ENSP00000000412,ENSP00000341344,706
ENSP00000000412,ENSP00000243924,186
ENSP00000000412,ENSP00000347792,900
ENSP00000000412,ENSP00000251775,159
ENSP00000000412,ENSP00000269228,376
ENSP00000000412,ENSP00000365131,226
ENSP00000000412,ENSP00000293217,386
ENSP00000000412,ENSP00000233242,905
ENSP00000000412,ENSP00000264595,196
ENSP00000000412,ENSP00000418575,485
ENSP00000000412,ENSP00000450731,453
ENSP00000000412,ENSP00000374455,150
ENSP00000000412,ENSP00000364709,194
ENSP00000000412,ENSP00000229795,185
ENSP00000000412,ENSP00000253083,907
ENSP00000000412,ENSP00000420384,351
ENSP00000000412,ENSP00000317971,222
ENSP00000000412,ENSP00000360252,161
ENSP00000000412,ENSP00000271234,901
ENSP00000000412,ENSP00000357564,209
ENSP00000000412,ENSP00000223023,902
ENSP00000000412,ENSP00000351926,904
ENSP00000000412,ENSP00000485589,250
ENSP00000000412,ENSP00000381293,926
ENSP00000000412,ENSP00000411565,167
ENSP00000000412,ENSP00000295256,163
ENSP00000000412,ENSP00000417354,225
ENSP00000000412,ENSP00000354850,424
ENSP00000000412,ENSP00000381098,211
ENSP00000000412,ENSP00000350199,941
ENSP00000000412,ENSP00000264649,159
ENSP00000000412,ENSP00000228506,269
ENSP00000000412,ENSP00000290649,242
ENSP00000000412,ENSP00000225719,406
ENSP00000000412,ENSP00000445408,368
ENSP00000000412,ENSP00000260197,354
ENSP00000000412,ENSP00000308122,161
ENSP00000000412,ENSP00000353444,913
ENSP00000000412,ENSP00000296266,221
ENSP00000000412,ENSP00000391826,708
ENSP00000000412,ENSP00000314508,187
ENSP00000000412,ENSP00000230085,217
ENSP00000000412,ENSP00000221930,185
ENSP00000000412,ENSP00000374443,273
ENSP00000000412,ENSP00000386289,222
ENSP00000000412,ENSP00000438085,641
ENSP00000000412,ENSP00000371394,902
ENSP00000000412,ENSP00000444029,221
ENSP00000000412,ENSP00000217131,912
ENSP00000000412,ENSP00000386226,171
ENSP00000000412,ENSP00000431445,901
ENSP00000000412,ENSP00000354558,167
ENSP00000000412,ENSP00000220616,282
ENSP00000000412,ENSP00000327650,164
ENSP00000000412,ENSP00000243253,286
ENSP00000000412,ENSP00000371152,187
ENSP00000000412,ENSP00000447378,321
ENSP00000000412,ENSP00000363616,224
ENSP00000000412,ENSP00000482835,913
ENSP00000000412,ENSP00000441543,900
ENSP00000000412,ENSP00000356236,905
ENSP00000000412,ENSP00000365938,198
ENSP00000000412,ENSP00000461945,395
ENSP00000000412,ENSP00000229340,222
ENSP00000000412,ENSP00000407586,185
ENSP00000000412,ENSP00000318016,151
ENSP00000000412,ENSP00000347244,905
ENSP00000000412,ENSP00000472469,386
ENSP00000000412,ENSP00000387286,189
ENSP00000000412,ENSP00000393313,900
ENSP00000000412,ENSP00000263054,212
ENSP00000000412,ENSP00000309124,393
ENSP00000000412,ENSP00000236671,676
ENSP00000000412,ENSP00000481750,212
ENSP00000000412,ENSP00000477455,189
ENSP00000000412,ENSP00000484060,900
ENSP00000000412,ENSP00000304422,538
ENSP00000000412,ENSP00000011653,903
ENSP00000000412,ENSP00000370522,296
ENSP00000000412,ENSP00000250244,908
ENSP00000000412,ENSP00000363976,152
ENSP00000000412,ENSP00000304376,202
ENSP00000000412,ENSP00000409667,903
ENSP00000000412,ENSP00000243298,906
ENSP00000000412,ENSP00000348602,910
ENSP00000000412,ENSP00000306010,159
ENSP00000000412,ENSP00000262225,178
ENSP00000000412,ENSP00000244040,285
ENSP00000000412,ENSP00000279281,923
ENSP00000000412,ENSP00000450838,167
ENSP00000000412,ENSP00000242465,266
ENSP00000000412,ENSP00000310832,543
ENSP00000000412,ENSP00000354398,165
ENSP00000000412,ENSP00000223641,234
ENSP00000000412,ENSP00000345195,905
ENSP00000000412,ENSP00000263904,915
ENSP00000000412,ENSP00000264710,218
ENSP00000000412,ENSP00000294742,902
ENSP00000000412,ENSP00000302728,540
ENSP00000000412,ENSP00000251047,323
ENSP00000000412,ENSP00000204726,208
ENSP00000000412,ENSP00000303522,900
ENSP00000000412,ENSP00000346437,230
ENSP00000000412,ENSP00000262288,228
ENSP00000000412,ENSP00000374069,380
ENSP00000000412,ENSP00000267199,256
ENSP00000000412,ENSP00000269299,246
ENSP00000000412,ENSP00000355231,204
ENSP00000000412,ENSP00000261304,150
ENSP00000000412,ENSP00000306157,900
ENSP00000000412,ENSP00000296411,154
ENSP00000000412,ENSP00000313391,910
ENSP00000000412,ENSP00000282728,349
ENSP00000000412,ENSP00000217244,327
ENSP00000000412,ENSP00000420076,157
ENSP00000000412,ENSP00000337731,248
ENSP00000000412,ENSP00000356465,313
ENSP00000000412,ENSP00000362680,167
ENSP00000000412,ENSP00000349824,900
ENSP00000000412,ENSP00000366746,925
ENSP00000000412,ENSP00000478479,171
ENSP00000000412,ENSP00000479153,194
ENSP00000000412,ENSP00000384615,900
ENSP00000000412,ENSP00000447053,914
ENSP00000000412,ENSP00000358072,255
ENSP00000000412,ENSP00000247461,508
ENSP00000000412,ENSP00000221466,186
ENSP00000000412,ENSP00000356540,300
ENSP00000000412,ENSP00000003084,917
ENSP00000000412,ENSP00000317332,900
ENSP00000000412,ENSP00000362480,528
ENSP00000000412,ENSP00000324419,902
ENSP00000000412,ENSP00000256255,292
ENSP00000000412,ENSP00000384886,248
ENSP00000000412,ENSP00000378725,177
ENSP00000000412,ENSP00000360645,386
ENSP00000000412,ENSP00000417764,153
ENSP00000000412,ENSP00000447730,451
ENSP00000000412,ENSP00000237596,292
ENSP00000000412,ENSP00000316454,529
ENSP00000000412,ENSP00000367299,166
ENSP00000000412,ENSP00000480986,167
ENSP00000000412,ENSP00000398698,185
ENSP00000000412,ENSP00000269593,171
ENSP00000000412,ENSP00000413625,903
ENSP00000000412,ENSP00000218516,547
ENSP00000000412,ENSP00000366565,168
ENSP00000000412,ENSP00000259711,710
ENSP00000000412,ENSP00000336666,908
ENSP00000000412,ENSP00000309376,310
ENSP00000000412,ENSP00000298316,310
ENSP00000000412,ENSP00000363229,901
ENSP00000000412,ENSP00000263897,165
ENSP00000000412,ENSP00000362707,167
ENSP00000000412,ENSP00000451828,211
ENSP00000000412,ENSP00000369647,900
ENSP00000000412,ENSP00000233202,186
ENSP00000000412,ENSP00000311300,644
ENSP00000000412,ENSP00000251968,256
ENSP00000000412,ENSP00000357453,250
ENSP00000000412,ENSP00000295897,355
ENSP00000000412,ENSP00000429824,178
ENSP00000000412,ENSP00000317955,651
ENSP00000000412,ENSP00000231368,168
ENSP00000000412,ENSP00000261890,506
ENSP00000000412,ENSP00000229195,239
ENSP00000000412,ENSP00000272902,221
ENSP00000000412,ENSP00000229239,188
ENSP00000000412,ENSP00000373539,238
ENSP00000000412,ENSP00000005340,900
ENSP00000000412,ENSP00000368831,366
ENSP00000000412,ENSP00000356107,289
ENSP00000000412,ENSP00000451112,375
ENSP00000000412,ENSP00000313869,224
ENSP00000000412,ENSP00000269305,185
ENSP00000000412,ENSP00000275884,196
ENSP00000000412,ENSP00000316779,900
ENSP00000000412,ENSP00000299138,526
ENSP00000000412,ENSP00000324628,903
ENSP00000000412,ENSP00000462333,424
ENSP00000000412,ENSP00000320117,902
ENSP00000000412,ENSP00000263816,945
ENSP00000000412,ENSP00000364802,193
ENSP00000000412,ENSP00000264033,906
ENSP00000000412,ENSP00000359540,191
ENSP00000000412,ENSP00000380921,900
ENSP00000000412,ENSP00000305372,900
ENSP00000000412,ENSP00000444957,914
ENSP00000000412,ENSP00000261889,522
ENSP00000000412,ENSP00000274306,211
ENSP00000000412,ENSP00000252486,185
ENSP00000000412,ENSP00000264914,429
ENSP00000000412,ENSP00000284981,242
ENSP00000000412,ENSP00000296684,392
ENSP00000000412,ENSP00000357307,903
ENSP00000000412,ENSP00000314499,915
ENSP00000000412,ENSP00000444850,221
ENSP00000000412,ENSP00000356918,223
ENSP00000000412,ENSP00000366998,305
ENSP00000000412,ENSP00000262623,260
ENSP00000000412,ENSP00000348888,211
ENSP00000000412,ENSP00000294179,358
ENSP00000000412,ENSP00000382428,191
ENSP00000000412,ENSP00000302665,440
ENSP00000000412,ENSP00000037243,161
ENSP00000000412,ENSP00000256497,347
ENSP00000000412,ENSP00000275525,236
ENSP00000000412,ENSP00000272322,930
ENSP00000000412,ENSP00000392065,902
ENSP00000000412,ENSP00000477815,282
ENSP00000000412,ENSP00000322270,227
ENSP00000000412,ENSP00000454229,347
ENSP00000000412,ENSP00000258145,905
ENSP00000000412,ENSP00000341737,902
ENSP00000000412,ENSP00000360183,939
ENSP00000000412,ENSP00000262506,258
ENSP00000000412,ENSP00000216341,358
ENSP00000000412,ENSP00000312946,545
ENSP00000000412,ENSP00000262139,542
ENSP00000000412,ENSP00000349437,988
ENSP00000000412,ENSP00000000233,161
ENSP00000000412,ENSP00000473001,900
ENSP00000000412,ENSP00000308938,222
ENSP00000000412,ENSP00000207549,245
ENSP00000000412,ENSP00000320935,239
ENSP00000000412,ENSP00000464275,250
ENSP00000000412,ENSP00000275493,921
ENSP00000000412,ENSP00000353224,956
ENSP00000000412,ENSP00000274000,178
ENSP00000000412,ENSP00000220809,210
ENSP00000000412,ENSP00000265070,384
ENSP00000000412,ENSP00000349305,418
ENSP00000000412,ENSP00000379818,210
ENSP00000000412,ENSP00000261799,187
ENSP00000000412,ENSP00000362946,250
ENSP00000000412,ENSP00000263270,904
ENSP00000000412,ENSP00000479606,940
ENSP00000000412,ENSP00000313756,351
ENSP00000000412,ENSP00000360798,926
ENSP00000000412,ENSP00000376024,903
ENSP00000000412,ENSP00000366280,203
ENSP00000000412,ENSP00000376792,970
ENSP00000000412,ENSP00000263321,241
ENSP00000000412,ENSP00000354061,236
ENSP00000000412,ENSP00000379601,309
ENSP00000000412,ENSP00000263341,185
ENSP00000000412,ENSP00000295087,244
ENSP00000000412,ENSP00000385834,901
ENSP00000000412,ENSP00000333769,587
ENSP00000000412,ENSP00000258301,440
ENSP00000000412,ENSP00000351777,165
ENSP00000000412,ENSP00000184266,390
ENSP00000000412,ENSP00000398568,351
ENSP00000000412,ENSP00000311962,734
ENSP00000000412,ENSP00000346027,152
ENSP00000000412,ENSP00000401435,931
ENSP00000000412,ENSP00000262839,225
ENSP00000000412,ENSP00000377015,910
ENSP00000000412,ENSP00000434442,154
ENSP00000000412,ENSP00000265970,900
ENSP00000000412,ENSP00000355217,266
ENSP00000000412,ENSP00000351805,900
ENSP00000000412,ENSP00000454071,928
ENSP00000000412,ENSP00000163416,213
ENSP00000000412,ENSP00000261263,163
ENSP00000000412,ENSP00000262640,937
ENSP00000000412,ENSP00000311449,386
ENSP00000000412,ENSP00000362656,448
ENSP00000000412,ENSP00000466134,287
ENSP00000000412,ENSP00000377700,219
ENSP00000000412,ENSP00000357480,171
ENSP00000000412,ENSP00000274140,223
ENSP00000000412,ENSP00000310036,228
ENSP00000000412,ENSP00000217961,210
ENSP00000000412,ENSP00000351575,328
ENSP00000000412,ENSP00000264634,900
ENSP00000000412,ENSP00000261416,254
ENSP00000000412,ENSP00000247933,539
ENSP00000000412,ENSP00000482826,900
ENSP00000000412,ENSP00000378368,181
ENSP00000000412,ENSP00000273047,958
ENSP00000000412,ENSP00000440005,943
ENSP00000000412,ENSP00000347839,186
ENSP00000000412,ENSP00000292807,921
ENSP00000000412,ENSP00000217423,469
ENSP00000000412,ENSP00000362639,900
ENSP00000000412,ENSP00000264072,225
ENSP00000000412,ENSP00000356705,900
ENSP00000000412,ENSP00000305603,227
ENSP00000000412,ENSP00000369318,925
ENSP00000000412,ENSP00000363081,266
ENSP00000000412,ENSP00000261205,903
ENSP00000000412,ENSP00000005587,258
ENSP00000000412,ENSP00000363822,227
ENSP00000000412,ENSP00000335082,218
ENSP00000000412,ENSP00000360154,932
ENSP00000000412,ENSP00000265986,163
ENSP00000000412,ENSP00000265062,634
ENSP00000000412,ENSP00000256682,184
ENSP00000000412,ENSP00000272190,478
ENSP00000000412,ENSP00000339328,214
ENSP00000000412,ENSP00000339191,197
ENSP00000000412,ENSP00000305692,476
ENSP00000000412,ENSP00000300935,268
ENSP00000000412,ENSP00000384400,179
ENSP00000000412,ENSP00000263864,927
ENSP00000000412,ENSP00000258654,150
ENSP00000000412,ENSP00000483552,473
ENSP00000000412,ENSP00000380432,446
ENSP00000000412,ENSP00000357153,208
ENSP00000000412,ENSP00000480853,474
ENSP00000000412,ENSP00000370719,901
ENSP00000000412,ENSP00000304697,900
ENSP00000000412,ENSP00000291700,250
ENSP00000000412,ENSP00000304051,169
ENSP00000000412,ENSP00000362465,165
ENSP00000000412,ENSP00000349687,311
ENSP00000000412,ENSP00000335193,214
ENSP00000000412,ENSP00000222572,173
ENSP00000000412,ENSP00000355651,440
ENSP00000000412,ENSP00000462729,499
ENSP00000000412,ENSP00000318147,396
ENSP00000000412,ENSP00000302413,156
ENSP00000000412,ENSP00000266458,161
ENSP00000000412,ENSP00000343412,152
ENSP00000000412,ENSP00000307275,153
ENSP00000000412,ENSP00000370473,197
ENSP00000000412,ENSP00000375960,295
ENSP00000000412,ENSP00000369293,230
ENSP00000000412,ENSP00000345672,452
ENSP00000000412,ENSP00000367265,316
ENSP00000000412,ENSP00000262942,901
ENSP00000000412,ENSP00000242285,910
ENSP00000000412,ENSP00000366673,217
ENSP00000000412,ENSP00000355969,269
ENSP00000000412,ENSP00000331201,933
ENSP00000000412,ENSP00000325564,250
ENSP00000000412,ENSP00000340409,441
ENSP00000000412,ENSP00000388107,900
ENSP00000000412,ENSP00000263780,191
ENSP00000000412,ENSP00000295718,185
ENSP00000000412,ENSP00000373570,195
ENSP00000000412,ENSP00000314606,620
ENSP00000000412,ENSP00000384092,185
ENSP00000000412,ENSP00000371272,211
ENSP00000000412,ENSP00000323929,282
ENSP00000000412,ENSP00000054666,940
ENSP00000000412,ENSP00000463393,162
ENSP00000000412,ENSP00000362010,288
ENSP00000000412,ENSP00000373905,920
ENSP00000000412,ENSP00000327694,904
ENSP00000000412,ENSP00000243077,298
ENSP00000000412,ENSP00000158771,246
ENSP00000000412,ENSP00000317334,358
ENSP00000000412,ENSP00000260453,189
ENSP00000000412,ENSP00000302961,186
ENSP00000000412,ENSP00000406209,903
ENSP00000000412,ENSP00000445052,499
ENSP00000000412,ENSP00000310998,343
ENSP00000000412,ENSP00000227266,265
ENSP00000000412,ENSP00000479618,214
ENSP00000000412,ENSP00000386456,907
ENSP00000000412,ENSP00000321334,218
ENSP00000000412,ENSP00000356920,207
ENSP00000000412,ENSP00000365256,186
ENSP00000000412,ENSP00000405330,221
ENSP00000000412,ENSP00000386597,258
ENSP00000000412,ENSP00000393559,527
ENSP00000000412,ENSP00000409952,930
ENSP00000000412,ENSP00000233616,347
ENSP00000000412,ENSP00000335153,187
ENSP00000000412,ENSP00000450857,900
ENSP00000000412,ENSP00000424198,370
ENSP00000000412,ENSP00000300289,185
ENSP00000000412,ENSP00000377275,473
ENSP00000000412,ENSP00000364235,167
ENSP00000000412,ENSP00000434034,900
ENSP00000000412,ENSP00000300692,900
ENSP00000000412,ENSP00000268097,205
ENSP00000000412,ENSP00000399745,900
ENSP00000000412,ENSP00000378328,214
ENSP00000000412,ENSP00000336747,901
ENSP00000000412,ENSP00000256997,616
ENSP00000000412,ENSP00000440945,900
ENSP00000000412,ENSP00000366395,311
ENSP00000000412,ENSP00000320543,900
ENSP00000000412,ENSP00000335060,386
ENSP00000000412,ENSP00000263245,161
ENSP00000000412,ENSP00000236192,932
ENSP00000000412,ENSP00000265171,927
ENSP00000000412,ENSP00000264382,480
ENSP00000000412,ENSP00000263238,902
ENSP00000000412,ENSP00000310275,152
ENSP00000000412,ENSP00000351905,189
ENSP00000000412,ENSP00000222547,215
ENSP00000000412,ENSP00000254950,249
ENSP00000000412,ENSP00000337354,224
ENSP00000000412,ENSP00000369027,225
ENSP00000000412,ENSP00000479762,621
ENSP00000000412,ENSP00000338562,196
ENSP00000000412,ENSP00000427130,210
ENSP00000000412,ENSP00000367459,901
ENSP00000000412,ENSP00000351742,325
ENSP00000000412,ENSP00000269886,902
ENSP00000000412,ENSP00000402758,150
ENSP00000000412,ENSP00000283195,386
ENSP00000000412,ENSP00000261942,175
ENSP00000000412,ENSP00000355920,400
ENSP00000000412,ENSP00000481096,284
ENSP00000000412,ENSP00000318585,339
ENSP00000000412,ENSP00000320866,418
ENSP00000000412,ENSP00000299314,499
ENSP00000000412,ENSP00000367220,909
ENSP00000000412,ENSP00000263354,901
ENSP00000000412,ENSP00000444201,167
ENSP00000000412,ENSP00000301286,221
ENSP00000000412,ENSP00000318165,589
ENSP00000000412,ENSP00000345344,448
ENSP00000000412,ENSP00000256637,641
ENSP00000000412,ENSP00000233809,187
ENSP00000000412,ENSP00000360076,900
ENSP00000000412,ENSP00000476960,220
ENSP00000000412,ENSP00000324318,169
ENSP00000000412,ENSP00000356198,182
ENSP00000000412,ENSP00000422185,165
ENSP00000000412,ENSP00000450614,188
ENSP00000000412,ENSP00000400459,913
ENSP00000000412,ENSP00000320092,901
ENSP00000000412,ENSP00000185150,643
ENSP00000000412,ENSP00000403701,900
ENSP00000000412,ENSP00000358715,183
ENSP00000000412,ENSP00000295569,190
ENSP00000000412,ENSP00000339801,187
ENSP00000000412,ENSP00000329471,351
ENSP00000000412,ENSP00000377664,906
ENSP00000000412,ENSP00000225724,213
ENSP00000000412,ENSP00000315136,211
ENSP00000000412,ENSP00000272317,902
ENSP00000000412,ENSP00000381567,210
ENSP00000000412,ENSP00000337053,525
ENSP00000000412,ENSP00000379680,574
ENSP00000000412,ENSP00000299886,204
ENSP00000000412,ENSP00000363397,194
ENSP00000000412,ENSP00000352601,296
ENSP00000000412,ENSP00000362469,901
ENSP00000000412,ENSP00000264079,168
ENSP00000000412,ENSP00000368022,197
ENSP00000000412,ENSP00000394863,451
ENSP00000000412,ENSP00000216085,198
ENSP00000000412,ENSP00000225927,623
ENSP00000000412,ENSP00000294258,222
ENSP00000000412,ENSP00000360985,163
ENSP00000000412,ENSP00000328524,209
ENSP00000000412,ENSP00000204679,309
ENSP00000000412,ENSP00000378394,530
ENSP00000000412,ENSP00000409581,900
ENSP00000000412,ENSP00000333298,669
ENSP00000000412,ENSP00000443631,270
ENSP00000000412,ENSP00000369820,173
ENSP00000000412,ENSP00000295685,900
ENSP00000000412,ENSP00000259253,443
ENSP00000000412,ENSP00000432083,919
ENSP00000000412,ENSP00000355265,183
ENSP00000000412,ENSP00000369081,902
ENSP00000000412,ENSP00000361562,281
ENSP00000000412,ENSP00000276914,286
ENSP00000000412,ENSP00000349560,224
ENSP00000000412,ENSP00000362014,904
ENSP00000000412,ENSP00000377148,926
ENSP00000000412,ENSP00000368976,167
ENSP00000000412,ENSP00000420127,921
ENSP00000000412,ENSP00000222219,902
ENSP00000000412,ENSP00000387282,936
ENSP00000000412,ENSP00000314214,921
ENSP00000000412,ENSP00000221957,985
ENSP00000000412,ENSP00000297494,188
ENSP00000000412,ENSP00000268035,398
ENSP00000000412,ENSP00000217971,794
ENSP00000000412,ENSP00000361405,187
ENSP00000000412,ENSP00000223369,232
ENSP00000000412,ENSP00000393776,907
ENSP00000000412,ENSP00000309415,913
ENSP00000000412,ENSP00000365569,242
ENSP00000000412,ENSP00000318821,286
ENSP00000000412,ENSP00000480332,164
ENSP00000000412,ENSP00000386443,967
ENSP00000000412,ENSP00000262039,273
ENSP00000000412,ENSP00000315152,177
ENSP00000000412,ENSP00000287482,216
ENSP00000000412,ENSP00000388996,932
ENSP00000000412,ENSP00000354040,196
ENSP00000000412,ENSP00000438399,155
ENSP00000000412,ENSP00000365745,904
ENSP00000000412,ENSP00000391942,901
ENSP00000000412,ENSP00000346839,195
ENSP00000000412,ENSP00000259400,218
ENSP00000000412,ENSP00000309457,161
ENSP00000000412,ENSP00000263246,902
ENSP00000000412,ENSP00000299427,388
ENSP00000000412,ENSP00000451261,189
ENSP00000000412,ENSP00000053867,218
ENSP00000000412,ENSP00000264380,250
ENSP00000000412,ENSP00000379891,904
ENSP00000000412,ENSP00000300055,196
ENSP00000000412,ENSP00000262812,485
ENSP00000000412,ENSP00000301464,150
ENSP00000000412,ENSP00000388169,905
ENSP00000000412,ENSP00000228825,904
ENSP00000000412,ENSP00000264065,243
ENSP00000000412,ENSP00000408411,546
ENSP00000000412,ENSP00000249647,403
ENSP00000000412,ENSP00000268695,231
ENSP00000000412,ENSP00000275300,402
ENSP00000000412,ENSP00000441158,913
ENSP00000000412,ENSP00000243662,266
ENSP00000000412,ENSP00000345656,185
ENSP00000000412,ENSP00000258198,191
ENSP00000000412,ENSP00000264896,950
ENSP00000000412,ENSP00000403172,217
ENSP00000000412,ENSP00000360108,915
ENSP00000000412,ENSP00000419422,900
ENSP00000001008,ENSP00000294053,154
ENSP00000001008,ENSP00000272298,196
ENSP00000001008,ENSP00000342710,150
ENSP00000001008,ENSP00000480489,163
ENSP00000001008,ENSP00000401445,192
ENSP00000001008,ENSP00000383851,182
ENSP00000001008,ENSP00000327801,216
ENSP00000001008,ENSP00000348886,277
ENSP00000001008,ENSP00000310572,234
ENSP00000001008,ENSP00000350815,965
ENSP00000001008,ENSP00000245206,152
ENSP00000001008,ENSP00000342056,205
ENSP00000001008,ENSP00000414886,196
ENSP00000001008,ENSP00000274192,199
ENSP00000001008,ENSP00000270538,431
ENSP00000001008,ENSP00000322419,226
ENSP00000001008,ENSP00000363041,173
ENSP00000001008,ENSP00000383063,907
ENSP00000001008,ENSP00000369456,292
ENSP00000001008,ENSP00000228841,209
ENSP00000001008,ENSP00000431512,955
ENSP00000001008,ENSP00000410452,235
ENSP00000001008,ENSP00000286428,217
ENSP00000001008,ENSP00000362744,158
ENSP00000001008,ENSP00000295256,210
ENSP00000001008,ENSP00000350052,202
ENSP00000001008,ENSP00000249299,219
ENSP00000001008,ENSP00000231509,982
ENSP00000001008,ENSP00000369547,254
ENSP00000001008,ENSP00000301729,154
ENSP00000001008,ENSP00000278715,225
ENSP00000001008,ENSP00000262395,178
ENSP00000001008,ENSP00000331944,152
ENSP00000001008,ENSP00000378699,183
ENSP00000001008,ENSP00000466897,203
ENSP00000001008,ENSP00000357494,192
ENSP00000001008,ENSP00000456405,163
ENSP00000001008,ENSP00000221930,185
ENSP00000001008,ENSP00000384881,187
ENSP00000001008,ENSP00000363571,192
ENSP00000001008,ENSP00000347742,163
ENSP00000001008,ENSP00000355599,207
ENSP00000001008,ENSP00000229812,185
ENSP00000001008,ENSP00000472469,150
ENSP00000001008,ENSP00000309124,292
ENSP00000001008,ENSP00000279387,237
ENSP00000001008,ENSP00000371393,171
ENSP00000001008,ENSP00000243298,212
ENSP00000001008,ENSP00000307786,219
ENSP00000001008,ENSP00000379256,196
ENSP00000001008,ENSP00000355924,154
ENSP00000001008,ENSP00000420714,177
ENSP00000001008,ENSP00000242465,449
ENSP00000001008,ENSP00000215659,173
ENSP00000001008,ENSP00000365858,239
ENSP00000001008,ENSP00000356416,164
ENSP00000001008,ENSP00000391211,261
ENSP00000001008,ENSP00000340820,658
ENSP00000001008,ENSP00000418754,192
ENSP00000001008,ENSP00000435355,203
ENSP00000001008,ENSP00000307272,285
ENSP00000001008,ENSP00000438615,248
ENSP00000001008,ENSP00000358335,192
ENSP00000001008,ENSP00000386636,189
ENSP00000001008,ENSP00000341539,220
ENSP00000001008,ENSP00000356134,179
ENSP00000001008,ENSP00000359245,201
ENSP00000001008,ENSP00000264972,199
ENSP00000001008,ENSP00000450730,192
ENSP00000001008,ENSP00000336831,384
ENSP00000001008,ENSP00000281092,192
ENSP00000001008,ENSP00000426909,233
ENSP00000001008,ENSP00000451080,151
ENSP00000001008,ENSP00000282728,214
ENSP00000001008,ENSP00000371201,199
ENSP00000001008,ENSP00000363412,203
ENSP00000001008,ENSP00000377768,259
ENSP00000001008,ENSP00000326031,343
ENSP00000001008,ENSP00000392257,287
ENSP00000001008,ENSP00000362680,407
ENSP00000001008,ENSP00000292169,932
ENSP00000001008,ENSP00000349490,179
ENSP00000001008,ENSP00000354871,237
ENSP00000001008,ENSP00000372274,255
ENSP00000001008,ENSP00000435926,183
ENSP00000001008,ENSP00000216122,166
ENSP00000001008,ENSP00000005386,160
ENSP00000001008,ENSP00000263857,356
ENSP00000001008,ENSP00000285735,204
ENSP00000001008,ENSP00000370517,291
ENSP00000001008,ENSP00000355361,219
ENSP00000001008,ENSP00000464030,192
ENSP00000001008,ENSP00000283882,176
ENSP00000001008,ENSP00000301732,201
ENSP00000001008,ENSP00000342850,292
ENSP00000001008,ENSP00000458075,290
ENSP00000001008,ENSP00000423067,231
ENSP00000001008,ENSP00000259727,167
ENSP00000001008,ENSP00000364293,173
ENSP00000001008,ENSP00000304592,176
ENSP00000001008,ENSP00000297071,199
ENSP00000001008,ENSP00000398698,216
ENSP00000001008,ENSP00000269593,260
ENSP00000001008,ENSP00000262519,158
ENSP00000001008,ENSP00000419425,500
ENSP00000001008,ENSP00000352185,155
ENSP00000001008,ENSP00000300087,902
ENSP00000001008,ENSP00000402033,191
ENSP00000001008,ENSP00000261015,222
ENSP00000001008,ENSP00000219789,215
ENSP00000001008,ENSP00000483786,196
ENSP00000001008,ENSP00000254322,601
ENSP00000001008,ENSP00000280614,201
ENSP00000001008,ENSP00000216479,788
ENSP00000001008,ENSP00000269081,201
ENSP00000001008,ENSP00000256953,200
ENSP00000001008,ENSP00000363745,288
ENSP00000001008,ENSP00000344220,190
ENSP00000001008,ENSP00000238508,254
ENSP00000001008,ENSP00000365227,223
ENSP00000001008,ENSP00000295897,254
ENSP00000001008,ENSP00000357292,193
ENSP00000001008,ENSP00000298746,185
ENSP00000001008,ENSP00000319255,512
ENSP00000001008,ENSP00000261712,162
ENSP00000001008,ENSP00000357705,254
ENSP00000001008,ENSP00000300648,216
ENSP00000001008,ENSP00000301037,210
ENSP00000001008,ENSP00000216144,196
ENSP00000001008,ENSP00000008527,168
ENSP00000001008,ENSP00000463752,202
ENSP00000001008,ENSP00000260443,188
ENSP00000001008,ENSP00000361475,225
ENSP00000001008,ENSP00000228280,281
ENSP00000001008,ENSP00000380998,150
ENSP00000001008,ENSP00000472836,179
ENSP00000001008,ENSP00000335636,155
ENSP00000001008,ENSP00000379475,266
ENSP00000001008,ENSP00000297579,220
ENSP00000001008,ENSP00000403932,196
ENSP00000001008,ENSP00000325240,180
ENSP00000001008,ENSP00000409346,242
ENSP00000001008,ENSP00000432660,206
ENSP00000001008,ENSP00000482907,233
ENSP00000001008,ENSP00000311760,211
ENSP00000001008,ENSP00000298910,309
ENSP00000001008,ENSP00000375978,229
ENSP00000001008,ENSP00000306752,292
ENSP00000001008,ENSP00000479216,185
ENSP00000001008,ENSP00000286788,311
ENSP00000001008,ENSP00000357879,153
ENSP00000001008,ENSP00000327179,173
ENSP00000001008,ENSP00000265372,162
ENSP00000001008,ENSP00000375639,271
ENSP00000001008,ENSP00000483495,189
ENSP00000001008,ENSP00000361076,182
ENSP00000001008,ENSP00000285667,224
ENSP00000001008,ENSP00000259239,201
ENSP00000001008,ENSP00000302801,158
ENSP00000001008,ENSP00000308938,187
ENSP00000001008,ENSP00000275493,236
ENSP00000001008,ENSP00000378868,157
ENSP00000001008,ENSP00000215739,218
ENSP00000001008,ENSP00000361927,163
ENSP00000001008,ENSP00000401470,166
ENSP00000001008,ENSP00000356354,430
