protein1,protein2,combined_score
ENSP00000000233,ENSP00000357087,154
ENSP00000000233,ENSP00000346762,653
ENSP00000000233,ENSP00000415332,186
ENSP00000000233,ENSP00000294618,192
ENSP00000000233,ENSP00000311684,324
ENSP00000000233,ENSP00000360183,159
ENSP00000000233,ENSP00000377971,175
ENSP00000000233,ENSP00000357879,307
ENSP00000000233,ENSP00000261813,173
ENSP00000000233,ENSP00000384869,264
ENSP00000000233,ENSP00000286548,217
ENSP00000000233,ENSP00000303145,925
ENSP00000000233,ENSP00000306015,166
ENSP00000000233,ENSP00000320935,154
ENSP00000000233,ENSP00000275493,238
ENSP00000000233,ENSP00000305260,320
ENSP00000000233,ENSP00000358994,187
ENSP00000000233,ENSP00000377075,213
ENSP00000000233,ENSP00000302486,216
ENSP00000000233,ENSP00000468354,175
ENSP00000000233,ENSP00000324806,214
ENSP00000000233,ENSP00000369126,260
ENSP00000000233,ENSP00000468367,365
ENSP00000000233,ENSP00000364864,914
ENSP00000000233,ENSP00000220509,165
ENSP00000000233,ENSP00000367407,259
ENSP00000000233,ENSP00000420211,194
ENSP00000000233,ENSP00000451263,159
ENSP00000000233,ENSP00000254854,191
ENSP00000000233,ENSP00000339381,200
ENSP00000000233,ENSP00000401770,189
ENSP00000000233,ENSP00000263923,161
ENSP00000000233,ENSP00000306678,159
ENSP00000000233,ENSP00000260385,158
ENSP00000000233,ENSP00000222390,257
ENSP00000000233,ENSP00000404190,906
ENSP00000000233,ENSP00000258301,265
ENSP00000000233,ENSP00000217233,154
ENSP00000000233,ENSP00000356853,167
ENSP00000000233,ENSP00000412763,159
ENSP00000000233,ENSP00000012443,216
ENSP00000000233,ENSP00000379386,403
ENSP00000000233,ENSP00000360124,158
ENSP00000000233,ENSP00000370912,159
ENSP00000000233,ENSP00000263373,904
ENSP00000000233,ENSP00000265970,192
ENSP00000000233,ENSP00000359000,956
ENSP00000000233,ENSP00000316845,215
ENSP00000000233,ENSP00000163416,269
ENSP00000000233,ENSP00000261263,222
ENSP00000000233,ENSP00000216797,178
ENSP00000000233,ENSP00000367952,242
ENSP00000000233,ENSP00000314649,411
ENSP00000000233,ENSP00000295888,159
ENSP00000000233,ENSP00000380413,222
ENSP00000000233,ENSP00000270176,178
ENSP00000000233,ENSP00000291906,199
ENSP00000000233,ENSP00000442973,203
ENSP00000000233,ENSP00000331678,150
ENSP00000000233,ENSP00000264454,265
ENSP00000000233,ENSP00000363970,150
ENSP00000000233,ENSP00000292807,218
ENSP00000000233,ENSP00000360195,157
ENSP00000000233,ENSP00000261891,185
ENSP00000000233,ENSP00000376306,274
ENSP00000000233,ENSP00000385885,166
ENSP00000000233,ENSP00000329127,199
ENSP00000000233,ENSP00000291823,161
ENSP00000000233,ENSP00000258526,163
ENSP00000000233,ENSP00000272427,222
ENSP00000000233,ENSP00000219204,165
ENSP00000000233,ENSP00000380308,902
ENSP00000000233,ENSP00000343273,159
ENSP00000000233,ENSP00000225174,164
ENSP00000000233,ENSP00000265062,400
ENSP00000000233,ENSP00000354032,153
ENSP00000000233,ENSP00000480359,166
ENSP00000000233,ENSP00000294964,159
ENSP00000000233,ENSP00000365312,179
ENSP00000000233,ENSP00000481721,156
ENSP00000000233,ENSP00000380432,902
ENSP00000000233,ENSP00000297044,966
ENSP00000000233,ENSP00000296859,182
ENSP00000000233,ENSP00000285039,244
ENSP00000000233,ENSP00000340274,187
ENSP00000000233,ENSP00000384192,196
ENSP00000000233,ENSP00000261332,176
ENSP00000000233,ENSP00000251157,192
ENSP00000000233,ENSP00000370719,353
ENSP00000000233,ENSP00000351338,163
ENSP00000000233,ENSP00000379678,158
ENSP00000000233,ENSP00000272217,215
ENSP00000000233,ENSP00000387784,215
ENSP00000000233,ENSP00000401010,914
ENSP00000000233,ENSP00000374409,150
ENSP00000000233,ENSP00000365773,403
ENSP00000000233,ENSP00000392718,179
ENSP00000000233,ENSP00000211287,177
ENSP00000000233,ENSP00000282397,178
ENSP00000000233,ENSP00000279024,186
ENSP00000000233,ENSP00000264644,182
ENSP00000000233,ENSP00000242285,196
ENSP00000000233,ENSP00000321826,157
ENSP00000000233,ENSP00000262305,821
ENSP00000000233,ENSP00000466248,190
ENSP00000000233,ENSP00000347134,192
ENSP00000000233,ENSP00000356243,156
ENSP00000000233,ENSP00000485140,219
ENSP00000000233,ENSP00000274376,198
ENSP00000000233,ENSP00000054666,393
ENSP00000000233,ENSP00000369755,661
ENSP00000000233,ENSP00000285208,372
ENSP00000000233,ENSP00000324287,761
ENSP00000000233,ENSP00000274311,150
ENSP00000000233,ENSP00000348828,202
ENSP00000000233,ENSP00000232975,368
ENSP00000000233,ENSP00000406209,181
ENSP00000000233,ENSP00000306330,207
ENSP00000000233,ENSP00000399259,156
ENSP00000000233,ENSP00000264712,912
ENSP00000000233,ENSP00000358309,177
ENSP00000000233,ENSP00000468002,157
ENSP00000000233,ENSP00000386538,172
ENSP00000000233,ENSP00000381377,169
ENSP00000000233,ENSP00000233616,167
ENSP00000000233,ENSP00000366283,164
ENSP00000000233,ENSP00000354201,164
ENSP00000000233,ENSP00000289153,192
ENSP00000000233,ENSP00000332247,156
ENSP00000000233,ENSP00000344961,192
ENSP00000000233,ENSP00000390783,230
ENSP00000000233,ENSP00000377508,174
ENSP00000000233,ENSP00000357651,182
ENSP00000000233,ENSP00000446917,203
ENSP00000000233,ENSP00000385995,355
ENSP00000000233,ENSP00000359370,189
ENSP00000000233,ENSP00000382492,192
ENSP00000000233,ENSP00000264167,184
ENSP00000000233,ENSP00000351905,159
ENSP00000000233,ENSP00000379712,633
ENSP00000000233,ENSP00000435370,171
ENSP00000000233,ENSP00000273130,900
ENSP00000000233,ENSP00000347979,160
ENSP00000000233,ENSP00000209728,212
ENSP00000000233,ENSP00000262030,179
ENSP00000000233,ENSP00000362139,159
ENSP00000000233,ENSP00000354560,900
ENSP00000000233,ENSP00000259371,169
ENSP00000000233,ENSP00000257863,159
ENSP00000000233,ENSP00000263967,192
ENSP00000000233,ENSP00000378306,184
ENSP00000000233,ENSP00000324422,157
ENSP00000000233,ENSP00000251170,156
ENSP00000000233,ENSP00000166244,159
ENSP00000000233,ENSP00000400906,156
ENSP00000000233,ENSP00000368464,173
ENSP00000000233,ENSP00000431885,159
ENSP00000000233,ENSP00000357048,932
ENSP00000000233,ENSP00000377664,207
ENSP00000000233,ENSP00000225724,197
ENSP00000000233,ENSP00000232461,203
ENSP00000000233,ENSP00000293970,313
ENSP00000000233,ENSP00000260600,160
ENSP00000000233,ENSP00000314556,157
ENSP00000000233,ENSP00000379412,179
ENSP00000000233,ENSP00000481038,202
ENSP00000000233,ENSP00000317272,280
ENSP00000000233,ENSP00000263634,175
ENSP00000000233,ENSP00000364579,156
ENSP00000000233,ENSP00000342105,161
ENSP00000000233,ENSP00000484912,186
ENSP00000000233,ENSP00000269051,166
ENSP00000000233,ENSP00000386857,178
ENSP00000000233,ENSP00000343144,267
ENSP00000000233,ENSP00000300896,261
ENSP00000000233,ENSP00000339179,154
ENSP00000000233,ENSP00000376475,220
ENSP00000000233,ENSP00000331504,159
ENSP00000000233,ENSP00000339916,159
ENSP00000000233,ENSP00000356379,199
ENSP00000000233,ENSP00000347802,157
ENSP00000000233,ENSP00000326342,159
ENSP00000000233,ENSP00000369081,164
ENSP00000000233,ENSP00000315299,498
ENSP00000000233,ENSP00000217188,159
ENSP00000000233,ENSP00000364133,159
ENSP00000000233,ENSP00000222345,188
ENSP00000000233,ENSP00000222402,184
ENSP00000000233,ENSP00000377233,585
ENSP00000000233,ENSP00000378624,171
ENSP00000000233,ENSP00000312988,175
ENSP00000000233,ENSP00000234313,393
ENSP00000000233,ENSP00000464342,202
ENSP00000000233,ENSP00000402515,192
ENSP00000000233,ENSP00000268035,167
ENSP00000000233,ENSP00000339467,296
ENSP00000000233,ENSP00000318197,168
ENSP00000000233,ENSP00000245796,386
ENSP00000000233,ENSP00000270112,189
ENSP00000000233,ENSP00000309036,178
ENSP00000000233,ENSP00000223369,927
ENSP00000000233,ENSP00000360613,250
ENSP00000000233,ENSP00000275815,159
ENSP00000000233,ENSP00000380530,154
ENSP00000000233,ENSP00000373399,174
ENSP00000000233,ENSP00000323687,164
ENSP00000000233,ENSP00000256383,163
ENSP00000000233,ENSP00000388996,371
ENSP00000000233,ENSP00000249923,957
ENSP00000000233,ENSP00000431284,166
ENSP00000000233,ENSP00000480301,831
ENSP00000000233,ENSP00000455507,277
ENSP00000000233,ENSP00000355237,159
ENSP00000000233,ENSP00000341083,201
ENSP00000000233,ENSP00000296127,243
ENSP00000000233,ENSP00000448696,218
ENSP00000000233,ENSP00000378356,911
ENSP00000000233,ENSP00000379891,412
ENSP00000000233,ENSP00000261558,203
ENSP00000000233,ENSP00000225972,159
ENSP00000000233,ENSP00000303570,157
ENSP00000000233,ENSP00000388169,177
ENSP00000000233,ENSP00000308430,195
ENSP00000000233,ENSP00000382341,167
ENSP00000000233,ENSP00000361057,909
ENSP00000000233,ENSP00000328923,157
ENSP00000000233,ENSP00000357869,458
ENSP00000000233,ENSP00000346599,171
ENSP00000000233,ENSP00000373979,244
ENSP00000000233,ENSP00000377280,339
ENSP00000000233,ENSP00000282356,197
ENSP00000000233,ENSP00000483825,214
ENSP00000000233,ENSP00000267339,175
ENSP00000000233,ENSP00000262719,187
ENSP00000000233,ENSP00000352882,163
ENSP00000000233,ENSP00000434033,188
ENSP00000000233,ENSP00000361636,306
ENSP00000000233,ENSP00000262646,156
ENSP00000000233,ENSP00000386041,181
ENSP00000000233,ENSP00000283426,316
ENSP00000000233,ENSP00000308351,159
ENSP00000000233,ENSP00000443191,153
ENSP00000000233,ENSP00000359045,156
ENSP00000000233,ENSP00000251102,153
ENSP00000000233,ENSP00000318884,160
ENSP00000000233,ENSP00000310551,265
ENSP00000000233,ENSP00000341344,859
ENSP00000000233,ENSP00000397453,156
ENSP00000000233,ENSP00000364631,192
ENSP00000000233,ENSP00000379210,325
ENSP00000000233,ENSP00000358867,208
ENSP00000000233,ENSP00000296526,315
ENSP00000000233,ENSP00000229795,177
ENSP00000000233,ENSP00000264718,208
ENSP00000000233,ENSP00000394085,170
ENSP00000000233,ENSP00000432016,201
ENSP00000000233,ENSP00000444645,202
ENSP00000000233,ENSP00000369538,209
ENSP00000000233,ENSP00000314036,182
ENSP00000000233,ENSP00000226284,296
ENSP00000000233,ENSP00000308772,175
ENSP00000000233,ENSP00000279488,173
ENSP00000000233,ENSP00000273666,157
ENSP00000000233,ENSP00000428209,155
ENSP00000000233,ENSP00000381293,151
ENSP00000000233,ENSP00000262187,178
ENSP00000000233,ENSP00000360532,980
ENSP00000000233,ENSP00000265563,220
ENSP00000000233,ENSP00000333326,178
ENSP00000000233,ENSP00000320130,902
ENSP00000000233,ENSP00000329219,198
ENSP00000000233,ENSP00000318697,170
ENSP00000000233,ENSP00000402394,418
ENSP00000000233,ENSP00000373574,182
ENSP00000000233,ENSP00000353557,186
ENSP00000000233,ENSP00000265717,220
ENSP00000000233,ENSP00000360672,267
ENSP00000000233,ENSP00000322170,157
ENSP00000000233,ENSP00000362918,191
ENSP00000000233,ENSP00000222330,214
ENSP00000000233,ENSP00000362730,160
ENSP00000000233,ENSP00000471417,175
ENSP00000000233,ENSP00000387286,929
ENSP00000000233,ENSP00000357914,165
ENSP00000000233,ENSP00000395012,189
ENSP00000000233,ENSP00000398526,456
ENSP00000000233,ENSP00000020673,580
ENSP00000000233,ENSP00000322251,159
ENSP00000000233,ENSP00000293441,289
ENSP00000000233,ENSP00000219409,294
ENSP00000000233,ENSP00000223641,190
ENSP00000000233,ENSP00000373684,210
ENSP00000000233,ENSP00000292314,173
ENSP00000000233,ENSP00000444357,177
ENSP00000000233,ENSP00000377250,480
ENSP00000000233,ENSP00000469863,161
ENSP00000000233,ENSP00000358921,909
ENSP00000000233,ENSP00000377051,175
ENSP00000000233,ENSP00000354947,905
ENSP00000000233,ENSP00000320563,159
ENSP00000000233,ENSP00000466799,341
ENSP00000000233,ENSP00000380878,184
ENSP00000000233,ENSP00000007414,155
ENSP00000000233,ENSP00000356621,169
ENSP00000000233,ENSP00000264431,182
ENSP00000000233,ENSP00000346080,176
ENSP00000000233,ENSP00000356155,192
ENSP00000000233,ENSP00000382239,158
ENSP00000000233,ENSP00000338844,260
ENSP00000000233,ENSP00000361635,289
ENSP00000000233,ENSP00000302895,417
ENSP00000000233,ENSP00000352438,421
ENSP00000000233,ENSP00000221138,431
ENSP00000000233,ENSP00000485133,156
ENSP00000000233,ENSP00000408695,249
ENSP00000000233,ENSP00000479153,205
ENSP00000000233,ENSP00000220676,311
ENSP00000000233,ENSP00000428924,178
ENSP00000000233,ENSP00000290949,151
ENSP00000000233,ENSP00000251849,159
ENSP00000000233,ENSP00000447053,444
ENSP00000000233,ENSP00000309431,178
ENSP00000000233,ENSP00000263168,905
ENSP00000000233,ENSP00000379191,900
ENSP00000000233,ENSP00000466937,191
ENSP00000000233,ENSP00000467107,169
ENSP00000000233,ENSP00000354669,463
ENSP00000000233,ENSP00000477695,175
ENSP00000000233,ENSP00000375855,239
ENSP00000000233,ENSP00000383178,191
ENSP00000000233,ENSP00000274026,158
ENSP00000000233,ENSP00000328327,175
ENSP00000000233,ENSP00000329468,345
ENSP00000000233,ENSP00000360120,159
ENSP00000000233,ENSP00000264607,175
ENSP00000000233,ENSP00000369127,323
ENSP00000000233,ENSP00000367355,192
ENSP00000000233,ENSP00000356042,220
ENSP00000000233,ENSP00000256458,159
ENSP00000000233,ENSP00000009105,197
ENSP00000000233,ENSP00000315410,155
ENSP00000000233,ENSP00000476755,157
ENSP00000000233,ENSP00000265382,208
ENSP00000000233,ENSP00000413625,157
ENSP00000000233,ENSP00000220849,154
ENSP00000000233,ENSP00000470087,214
ENSP00000000233,ENSP00000352995,192
ENSP00000000233,ENSP00000357631,326
ENSP00000000233,ENSP00000350224,159
ENSP00000000233,ENSP00000299824,157
ENSP00000000233,ENSP00000361423,167
ENSP00000000233,ENSP00000199320,203
ENSP00000000233,ENSP00000440374,186
ENSP00000000233,ENSP00000349891,175
ENSP00000000233,ENSP00000481934,196
ENSP00000000233,ENSP00000419361,160
ENSP00000000233,ENSP00000354718,192
ENSP00000000233,ENSP00000334100,630
ENSP00000000233,ENSP00000261842,359
ENSP00000000233,ENSP00000217133,170
ENSP00000000233,ENSP00000367343,197
ENSP00000000233,ENSP00000399547,175
ENSP00000000233,ENSP00000255082,207
ENSP00000000233,ENSP00000351933,180
ENSP00000000233,ENSP00000367655,163
ENSP00000000233,ENSP00000476795,163
ENSP00000000233,ENSP00000317790,905
ENSP00000000233,ENSP00000377284,901
ENSP00000000233,ENSP00000363708,159
ENSP00000000233,ENSP00000178640,206
ENSP00000000233,ENSP00000273963,279
ENSP00000000233,ENSP00000338777,281
ENSP00000000233,ENSP00000380942,192
ENSP00000000233,ENSP00000450832,188
ENSP00000000233,ENSP00000431165,199
ENSP00000000233,ENSP00000428489,159
ENSP00000000233,ENSP00000381064,368
ENSP00000000233,ENSP00000306496,269
ENSP00000000233,ENSP00000297323,160
ENSP00000000233,ENSP00000299138,229
ENSP00000000233,ENSP00000367631,175
ENSP00000000233,ENSP00000218006,191
ENSP00000000233,ENSP00000371067,159
ENSP00000000233,ENSP00000397133,238
ENSP00000000233,ENSP00000381097,177
ENSP00000000233,ENSP00000360141,352
ENSP00000000233,ENSP00000376345,207
ENSP00000000233,ENSP00000353408,238
ENSP00000000233,ENSP00000263955,185
ENSP00000000233,ENSP00000393392,244
ENSP00000000233,ENSP00000445688,175
ENSP00000000233,ENSP00000332118,177
ENSP00000000233,ENSP00000406873,206
ENSP00000000233,ENSP00000257017,269
ENSP00000000233,ENSP00000359364,191
ENSP00000000233,ENSP00000346148,154
ENSP00000000233,ENSP00000321976,157
ENSP00000000233,ENSP00000347416,364
ENSP00000000233,ENSP00000444850,927
ENSP00000000233,ENSP00000265148,911
ENSP00000000233,ENSP00000381958,159
ENSP00000000233,ENSP00000216554,176
ENSP00000000233,ENSP00000272322,201
ENSP00000000233,ENSP00000365255,157
ENSP00000000233,ENSP00000337797,283
ENSP00000000233,ENSP00000393963,913
ENSP00000000233,ENSP00000381535,150
ENSP00000000233,ENSP00000382004,150
ENSP00000000233,ENSP00000262506,243
ENSP00000000233,ENSP00000324573,174
ENSP00000000233,ENSP00000481862,319
ENSP00000000233,ENSP00000255465,160
ENSP00000000233,ENSP00000473001,158
ENSP00000000233,ENSP00000345133,159
ENSP00000000233,ENSP00000478490,191
ENSP00000000233,ENSP00000361158,159
ENSP00000000233,ENSP00000472929,191
ENSP00000000233,ENSP00000389168,168
ENSP00000000233,ENSP00000459799,263
ENSP00000000233,ENSP00000353224,256
ENSP00000000233,ENSP00000282272,176
ENSP00000000233,ENSP00000356076,161
ENSP00000000233,ENSP00000444743,154
ENSP00000000233,ENSP00000313756,175
ENSP00000000233,ENSP00000350348,400
ENSP00000000233,ENSP00000291574,155
ENSP00000000233,ENSP00000216181,181
ENSP00000000233,ENSP00000274643,185
ENSP00000000233,ENSP00000303887,193
ENSP00000000233,ENSP00000360214,620
ENSP00000000233,ENSP00000171111,200
ENSP00000000233,ENSP00000357516,176
ENSP00000000233,ENSP00000300584,164
ENSP00000000233,ENSP00000253699,230
ENSP00000000233,ENSP00000348349,287
ENSP00000000233,ENSP00000341289,205
ENSP00000000233,ENSP00000478874,204
ENSP00000000233,ENSP00000333942,911
ENSP00000000233,ENSP00000385684,150
ENSP00000000233,ENSP00000484855,178
ENSP00000000233,ENSP00000281821,198
ENSP00000000233,ENSP00000482325,175
ENSP00000000233,ENSP00000377547,158
ENSP00000000233,ENSP00000280706,433
ENSP00000000233,ENSP00000340935,296
ENSP00000000233,ENSP00000363524,909
ENSP00000000233,ENSP00000382177,228
ENSP00000000233,ENSP00000312081,172
ENSP00000000233,ENSP00000332576,155
ENSP00000000233,ENSP00000230449,294
ENSP00000000233,ENSP00000444986,202
ENSP00000000233,ENSP00000339754,184
ENSP00000000233,ENSP00000402608,375
ENSP00000000233,ENSP00000386911,166
ENSP00000000233,ENSP00000362656,324
ENSP00000000233,ENSP00000274364,198
ENSP00000000233,ENSP00000346037,156
ENSP00000000233,ENSP00000356505,218
ENSP00000000233,ENSP00000246194,213
ENSP00000000233,ENSP00000297814,909
ENSP00000000233,ENSP00000261937,156
ENSP00000000233,ENSP00000471730,216
ENSP00000000233,ENSP00000323580,234
ENSP00000000233,ENSP00000273047,360
ENSP00000000233,ENSP00000046087,186
ENSP00000000233,ENSP00000392206,388
ENSP00000000233,ENSP00000440005,986
ENSP00000000233,ENSP00000347839,600
ENSP00000000233,ENSP00000356705,194
ENSP00000000233,ENSP00000265825,461
ENSP00000000233,ENSP00000377061,163
ENSP00000000233,ENSP00000400467,254
ENSP00000000233,ENSP00000256682,908
ENSP00000000233,ENSP00000438547,156
ENSP00000000233,ENSP00000399403,905
ENSP00000000233,ENSP00000263864,171
ENSP00000000233,ENSP00000356438,251
ENSP00000000233,ENSP00000380334,187
ENSP00000000233,ENSP00000483552,207
ENSP00000000233,ENSP00000356990,154
ENSP00000000233,ENSP00000321348,191
ENSP00000000233,ENSP00000222008,650
ENSP00000000233,ENSP00000263800,159
ENSP00000000233,ENSP00000269321,328
ENSP00000000233,ENSP00000363103,172
ENSP00000000233,ENSP00000411831,911
ENSP00000000233,ENSP00000327145,154
ENSP00000000233,ENSP00000264705,331
ENSP00000000233,ENSP00000305071,189
ENSP00000000233,ENSP00000296785,157
ENSP00000000233,ENSP00000332454,290
ENSP00000000233,ENSP00000379975,157
ENSP00000000233,ENSP00000332791,157
ENSP00000000233,ENSP00000470298,181
ENSP00000000233,ENSP00000441755,161
ENSP00000000233,ENSP00000299601,305
ENSP00000000233,ENSP00000370208,282
ENSP00000000233,ENSP00000418770,194
ENSP00000000233,ENSP00000288266,229
ENSP00000000233,ENSP00000363023,157
ENSP00000000233,ENSP00000381823,188
ENSP00000000233,ENSP00000356130,159
ENSP00000000233,ENSP00000371085,262
ENSP00000000233,ENSP00000247986,166
ENSP00000000233,ENSP00000401264,236
ENSP00000000233,ENSP00000005260,262
ENSP00000000233,ENSP00000284509,151
ENSP00000000233,ENSP00000414906,905
ENSP00000000233,ENSP00000309591,183
ENSP00000000233,ENSP00000386788,178
ENSP00000000233,ENSP00000273859,151
ENSP00000000233,ENSP00000401633,200
ENSP00000000233,ENSP00000264183,240
ENSP00000000233,ENSP00000264400,196
ENSP00000000233,ENSP00000468678,193
ENSP00000000233,ENSP00000337825,159
ENSP00000000233,ENSP00000356530,290
ENSP00000000233,ENSP00000359424,159
ENSP00000000233,ENSP00000221566,153
ENSP00000000233,ENSP00000483814,202
ENSP00000000233,ENSP00000360761,156
ENSP00000000233,ENSP00000344456,184
ENSP00000000233,ENSP00000263125,199
ENSP00000000233,ENSP00000286091,158
ENSP00000000233,ENSP00000398131,256
ENSP00000000233,ENSP00000325895,175
ENSP00000000233,ENSP00000479618,162
ENSP00000000233,ENSP00000400972,219
ENSP00000000233,ENSP00000328083,198
ENSP00000000233,ENSP00000304360,163
ENSP00000000233,ENSP00000262903,207
ENSP00000000233,ENSP00000355195,175
ENSP00000000233,ENSP00000427567,160
ENSP00000000233,ENSP00000471457,287
ENSP00000000233,ENSP00000365692,154
ENSP00000000233,ENSP00000255381,181
