Protein,idx
ENSP00000448220,17660
ENSP00000365266,12118
ENSP00000391826,15141
ENSP00000481126,18936
ENSP00000468308,18265
ENSP00000333024,7867
ENSP00000370088,12876
ENSP00000457411,17965
ENSP00000357283,10520
ENSP00000282397,3943
ENSP00000381266,14222
ENSP00000261461,2336
ENSP00000425261,16736
ENSP00000310873,6092
ENSP00000309572,5971
ENSP00000218721,512
ENSP00000354720,9971
ENSP00000323555,7057
ENSP00000400223,15536
ENSP00000381717,14283
ENSP00000330633,7646
ENSP00000265857,3110
ENSP00000360690,11232
ENSP00000287590,4184
ENSP00000334553,8022
ENSP00000348349,9265
ENSP00000301464,5218
ENSP00000348521,9284
ENSP00000000412,1
ENSP00000385957,14720
ENSP00000379287,13912
ENSP00000443926,17503
ENSP00000305442,5579
ENSP00000374484,13321
ENSP00000346634,9085
ENSP00000276893,3700
ENSP00000317214,6557
ENSP00000383044,14414
ENSP00000259351,2149
ENSP00000378416,13789
ENSP00000256593,1954
ENSP00000360412,11173
ENSP00000423390,16663
ENSP00000349748,9412
ENSP00000435585,17167
ENSP00000290341,4310
ENSP00000394720,15285
ENSP00000451560,17766
ENSP00000291041,4352
ENSP00000370648,12954
ENSP00000348565,9288
ENSP00000447173,17633
ENSP00000349291,9351
ENSP00000290271,4302
ENSP00000360158,11116
ENSP00000387683,14945
ENSP00000302647,5332
ENSP00000316042,6486
ENSP00000366246,12257
ENSP00000369131,12711
ENSP00000259873,2185
ENSP00000374152,13289
ENSP00000299084,4986
ENSP00000361206,11330
ENSP00000359337,10943
ENSP00000306887,5716
ENSP00000268164,3268
ENSP00000361965,11491
ENSP00000261884,2427
ENSP00000401437,15598
ENSP00000420269,16522
ENSP00000261427,2329
ENSP00000264431,2888
ENSP00000386456,14806
ENSP00000349142,9335
ENSP00000233146,1036
ENSP00000251170,1613
ENSP00000294053,4507
ENSP00000161006,139
ENSP00000317334,6569
ENSP00000260191,2210
ENSP00000279068,3787
ENSP00000345096,8933
ENSP00000329471,7552
ENSP00000284984,4063
ENSP00000281038,3860
ENSP00000277458,3711
ENSP00000430598,16966
ENSP00000281456,3884
ENSP00000287152,4165
ENSP00000356687,10387
ENSP00000381109,14200
ENSP00000453129,17823
ENSP00000252999,1725
ENSP00000355645,10167
ENSP00000289228,4254
ENSP00000358997,10879
ENSP00000222248,668
ENSP00000324127,7111
ENSP00000371483,13072
ENSP00000242839,1291
ENSP00000253048,1732
ENSP00000374443,13317
ENSP00000413572,16115
ENSP00000258091,2053
ENSP00000338783,8343
ENSP00000199320,224
ENSP00000365437,12142
ENSP00000356575,10366
ENSP00000482548,19056
ENSP00000310338,6034
ENSP00000389715,15048
ENSP00000466477,18203
ENSP00000262643,2573
ENSP00000353734,9833
ENSP00000264005,2808
ENSP00000457723,17980
ENSP00000348442,9273
ENSP00000259486,2163
ENSP00000320337,6803
ENSP00000219789,559
ENSP00000394794,15291
ENSP00000452786,17811
ENSP00000315070,6418
ENSP00000295718,4635
